,Apr - Sep 2018,,,Oct 2018 - Mar 2019,,,Apr - Sep 2019,,,Oct 2019 - Mar 2020,,,Apr - Sep 2020,,,Oct 2020 - Mar 2021,,,Apr - Sep 2021,,,Oct 2021 - Mar 2022,,,Apr - Sep 2022,,,Oct 2022 - Mar 2023,,
Pot size (including tax free portion of payment),Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance,Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance,Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance,Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance,Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance,Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance,Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance,Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance,Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance,Number of full withdrawals which used regulated advice,Number of  full withdrawals which used Pension Wise guidance,Number of  full withdrawals with no advice or guidance
"Less than £10,000","26,182","16,225","74,862","22,963","14,758","69,772","26,863","16,784","83,110","22,153","14,826","75,828","20,263","13,214","74,838","22,194","10,681","75,994","28,228","14,063","86,361","32,323","14,617","87,069","33,089","12,184","96,740","29,969","10,080","97,237"
"£10,000 - £29,000","13,279","8,297","28,481","11,032","6,802","25,846","13,737","8,115","30,517","10,758","6,470","25,989","9,874","6,607","28,486","10,560","4,782","25,464","11,591","6,271","29,700","11,110","5,680","26,403","12,247","5,542","33,445","9,974","3,798","32,888"
"£30,000 - £49,000","3,701","1,913","6,966","3,085","1,560","6,419","3,787","1,939","8,023","3,172","1,550","6,709","2,970","1,811","7,400","2,861","1,349","6,760","3,455","1,683","7,817","3,178","1,402","6,613","3,476","1,347","8,746","2,828",931,"8,337"
"£50,000 - £99,000","1,677",857,"3,863","1,487",771,"3,505","1,860",870,"4,121","1,653",757,"3,448","1,495",870,"3,963","1,654",773,"3,764","1,913",1001,"4,565","1,876",779,"3,951","1,930",775,"4,767","1,720",540,"4,700"
"£100,000 - £249,000",333,126,837,348,137,651,368,156,711,346,155,622,297,143,685,374,156,765,449,174,923,465,144,888,464,140,889,434,118,985
"£250,000 and above",113,14,93,70,11,86,57,11,86,80,15,97,51,9,93,88,13,103,126,11,160,88,12,136,65,13,108,79,8,134
All pot sizes,"45,285","27,432","115,102","38,985","24,039","106,279","46,672","27,875","126,568","38,162","23,773","112,693","34,950","22,654","115,465","37,731","17,754","112,850","45,762","23,203","129,526","49,040","22,634","125,060","51,271","20,001","144,695","45,004","15,475","144,281"
